ax,ay,az,gx,gy,gz
0.07,-1.22,10.09,-0.02,0.03,0.0
-0.04,-1.22,10.43,-0.16,0.07,-0.02
0.02,-1.21,10.35,-0.13,0.08,-0.02
0.0,-1.18,10.03,-0.06,0.07,0.0
0.0,-1.22,10.32,-0.13,0.08,-0.02
-0.01,-1.3,10.4,-0.13,0.06,-0.01
-0.03,-1.25,10.21,-0.09,0.05,-0.01
-0.02,-1.18,10.18,-0.11,0.07,-0.01
0.05,-1.2,10.3,-0.14,0.08,-0.01
0.01,-1.25,10.36,-0.13,0.07,-0.01
-0.06,-1.24,10.3,-0.11,0.06,-0.02
-0.02,-1.21,10.26,-0.11,0.06,-0.01
-0.01,-1.22,10.26,-0.12,0.06,-0.01
-0.01,-1.25,10.34,-0.13,0.08,-0.01
-0.01,-1.25,10.22,-0.1,0.05,-0.01
-0.01,-1.19,10.14,-0.08,0.05,-0.01
0.01,-1.26,10.32,-0.14,0.06,-0.02
-0.04,-1.28,10.33,-0.1,0.05,-0.01
-0.05,-1.24,10.26,-0.08,0.05,-0.01
-0.04,-1.22,10.24,-0.1,0.06,-0.01
0.02,-1.23,10.3,-0.12,0.06,-0.01
-0.02,-1.23,10.24,-0.11,0.06,-0.01
-0.02,-1.22,10.23,-0.11,0.06,-0.01
-0.03,-1.21,10.26,-0.1,0.05,-0.01
0.03,-1.23,10.25,-0.09,0.04,-0.01
0.0,-1.24,10.25,-0.1,0.05,-0.01
0.0,-1.23,10.25,-0.1,0.05,-0.01
0.0,-1.21,10.26,-0.1,0.05,-0.01
0.01,-1.23,10.25,-0.1,0.05,-0.01
0.01,-1.23,10.26,-0.1,0.05,-0.01
0.01,-1.2,10.27,-0.11,0.05,-0.01
-0.01,-1.19,10.26,-0.11,0.06,-0.01
0.0,-1.22,10.26,-0.11,0.05,-0.01
0.0,-1.2,10.24,-0.11,0.05,-0.01
0.0,-1.22,10.28,-0.1,0.05,-0.01
-0.01,-1.22,10.24,-0.09,0.05,-0.01
0.0,-1.24,10.32,-0.12,0.06,-0.01
0.04,-1.24,10.3,-0.13,0.07,-0.01
0.04,-1.19,10.07,-0.01,0.03,0.0
-0.05,-1.18,10.45,-0.15,0.07,-0.02
0.02,-1.19,10.33,-0.13,0.08,-0.02
0.0,-1.18,10.05,-0.06,0.07,0.0
0.01,-1.21,10.35,-0.14,0.08,-0.02
-0.03,-1.26,10.41,-0.13,0.06,-0.02
-0.02,-1.22,10.25,-0.09,0.05,-0.01
0.01,-1.18,10.2,-0.11,0.07,-0.01
0.04,-1.15,10.29,-0.13,0.08,-0.01
-0.01,-1.22,10.33,-0.12,0.07,-0.02
-0.06,-1.21,10.27,-0.11,0.06,-0.02
-0.01,-1.2,10.26,-0.11,0.06,-0.01
0.01,-1.21,10.24,-0.12,0.06,-0.01
-0.04,-1.24,10.32,-0.13,0.08,-0.02
-0.01,-1.23,10.23,-0.1,0.04,-0.01
0.0,-1.19,10.15,-0.07,0.04,-0.01
0.02,-1.24,10.33,-0.14,0.07,-0.02
-0.01,-1.25,10.32,-0.1,0.05,-0.01
-0.04,-1.21,10.24,-0.09,0.05,-0.01
-0.02,-1.19,10.21,-0.1,0.05,-0.01
0.0,-1.21,10.29,-0.12,0.06,-0.01
0.01,-1.2,10.24,-0.1,0.05,-0.01
-0.02,-1.21,10.26,-0.1,0.05,-0.01
0.01,-1.21,10.25,-0.1,0.04,-0.01
0.02,-1.21,10.26,-0.09,0.04,-0.01
0.0,-1.23,10.26,-0.09,0.05,-0.01
